1: Thanerprison, Andyforge, Wildin, Speedv, Ramfamv
2: Zaeliax, Gingikyrian, Onezyproc, Naowhwicked, Jpcpriochamp
3: Skylarkedpog, Trillb, Jeathshammy, Maystineh, Drjaymisto
4: Dorkinator, Yumypalakyr, Junkratppl, Crypticzzdwf, Anarchymchad
5: Zerocool, Tundradin, Danwarrdwnf, Trîska, Nivsvspin
6: Elbrospind, Kiznogwarri, Smovie, Nyruuslink, Selianclown
7: Lostzxali, Aga, Yontkyr, Nawetali, Blazeuugam
8: Markidw, Simkinsnf, Javier, Mkysaur, Maleec
9: Relentermage, Ezekiel, Bigzpalky, Seirena, Zolbar
10: Eocène, Vocox, Lightningpal, Sabrovichshm, Mashirou
11: Aestis, Beladeatcfan, Partyvsn, Spendwarf, Undaddishes
12: Pandypala, Salzm, Spiritvalc, Zafeirra, Flamsham
13: Sihedruid, Kindzadzadw, Gamletmage, Nevemopeww, Dannov
14: Vaenorkyr, Kiroolocked, Baldranstouf, Siixledoc, Zaapiste
15: Konzzii, Bannoxmonknl, Mashmanlok, Pandapples, Nockyr
16: Brewsmith, Omok, Dunkasham, Buroguenec, Galfaedriel
17: Strat, Snoomyi, Wertysemdefk, Asumiau, Shigusâ
18: Teenagedzap, Coolmomww, Orbledmm, Captsturgkyr, Thereddruid
19: Isko, Michellenic, Vengir, Belisar, Svenkyrmonk
20: Criss, Shenmonk, Muskan, Fxdryox, Vanguardiant
21: Raydecow, Raspator, Seigoat, Riggy, Badnightlite
22: Palbreww, Orreck, Crimsxd, Ivaz, Gangamm
23: Isohexanevr, Nowicki, Shackadin, Otbdave, Antilnf
24: Arasa, Trübsal, Kassy, Bash, Arià
25: Zefirnadru, Licenokpala, Muradyna, Reikallanga, Silvifayn
26: Pinejuice, Emberlancer, Jamongjuice, Fameless, Darkangles
27: Holdenmacawk, Saely, Chiakong, Iamthebookie, Jimbodark
28: Deaadfnecro, Deaadmisaki, Deaadmit, Flufys, Deaadbnf
29: Moglerana, Cripalwa, Badboykaftoy, Tgakproto, Råge
30: Notenxmonk, Pegeshama, Quadrogue, Masmagenf, Despinepally
31: Brabestalpha, Feskhuntera, Mitzdhv, Dynzi, Nandesprot
32: Shkizmage, Norgi, Rknaz, Nyüsz, Totoman
33: Kagefrostfae, Orfin, Viriata, Issael, Ningnecro
34: Furopal, Aquace, Selisub, Tamirdw, Mikkelchad
35: Pocketshaman, Toreypal, Toryeva, Thormere, Stealthmonk
36: Uhmazh, Bobif, Rhazabêar, Jereziah, Líorix
37: Neverbloom, Lyndaria, Tikadkventh, Solannanf, Kevkev
