1: Zaeliax, Gingikyrian, Onezyproc, Naowhwicked, Jpcpriochamp
2: Skylarkedpog, Trillb, Jeathshammy, Maystineh, Drjaymisto
3: Dorkinator, Yumypalakyr, Junkratppl, Crypticzzdwf, Anarchymchad
4: Relentermage, Ezekiel, Bigzpalky, Seirena, Zolbar
5: Aestis, Beladeatcfan, Partyvsn, Spendwarf, Undaddishes
6: Vaenorkyr, Kiroolocked, Baldranstouf, Siixledoc, Zaapiste
7: Konzzii, Bannoxmonknl, Mashmanlok, Pandapples, Nockyr
8: Brewsmith, Omok, Dunkasham, Buroguenec, Galfaedriel
9: Arasa, Trübsal, Kassy, Bash, Arià
10: Sihedruid, Kindzadzadw, Gamletmage, Nevemopeww, Dannov
11: Zefirnadru, Licenokpala, Muradyna, Reikallanga, Silvifayn
12: Pinejuice, Emberlancer, Jamongjuice, Fameless, Darkangles
13: Lostzxali, Aga, Yontkyr, Nawetali, Blazeuugam
14: Criss, Shenmonk, Muskan, Fxdryox, Vanguardiant
15: 紫怨之灵, 悠悠不玩电萨, 布莱恩灰须, 想想羊, 至黯之光
16: Kreischi, Hansilüdpala, Amirmonk, Splicer, Thebug
17: Pavedh, Terva, Maikkelson, Weepykyr, Bogie
18: Isko, Michellenic, Vengir, Belisar, Svenkyrmonk
19: Amypondpal, Cruhunt, Uhlya, Sedaya, Spicemixwarr
20: Pocketshaman, Toreypal, Toryeva, Thormere, Stealthmonk
21: Ronhoferkyr, Shanuro, Revvinwarrie, Carni, Klam
22: Nikosteknec, Dewer, Theoldpink, Wavesx, Prisyzedruid
23: Thriller, Manybbe, Samdasoo, 까사노바, 몽실이
24: Devoid, Nithari, Ajshammy, Sarry, Akeokepasieg
25: Saomonk, Rainboy, Leecerogue, Partimejob, Xmartwater
26: Chaztastic, Kpowz, Civiltankpal, Talisx, Lierenfrost
27: 咕呱, 大魔导师肥鸡, Zxxws, 吃锤, 止水微澜
28: Zindorei, Mystickyrian, Jimipalav, Panacastafae, Shadensfury
29: Awoken, Bluem, Pixiiriandra, Opprimo, Rekbrew
30: 冷七七武僧, 接米贼, 凛冬将至复仇, Eastbeer, 嘛嘛酱奶骑
31: Ivei, Taggedscute, Wolfbrother, Cptmech, Maxmaxmax
32: Sniffsniffer, Flameimpala, Hugenp, Hashventhyr, Auezsub
33: Ravencreast, Aomine, Vareesy, Gaps, Rubyxd
34: Yaky, Dúgzie, Bamseip, Lockycharms, Dreleds
35: Minaramonk, Allohanaei, Permimage, Tristenog, Fsmtophtrve
36: Shkizmage, Norgi, Rknaz, Nyüsz, Totoman
37: Skopekyrian, Frenzý, Appril, Chabu, Toscha
38: Bilili, 食唔大蕉, Cpcianes, 罗祖, 梁丨静丨茹
39: Meltibear, Liftard, Dizzy, Archetizuwuh, Niffydin
40: Narsha, Pittordwarf, Dyttegutensh, Aracizpallyk, Yoriormonkk
41: Vanguards, 牧可可, 死侍, Floanchorv, 小耗纸王
42: Ballz, Inspectorldn, Ninjajuice, Esmer, Thursagan
43: Alvin, 酱神丶, 風起湮灭灬, 山羊胡丶, 你个章鱼烧
44: 一纸丶画荒年, 一諾丶繁花, 潇菜菜, 迷途的小飞鼠, 涟漪
45: Prodigy, Akunda, Fayyana, Kaytrix, Kegcelot
46: Nastypalk, Shadypal, Cavemanicenf, Dedsmonk, Mordirogueki
47: Shaymins, Enzo, Sk, Zendaddy, Jibzventh
48: Goodgear, Bufftaurendk, Nøble, Synnderen, Baalar
49: Ugluten, Rogsirze, Cocopally, Perryfjacks, Kirbyte
50: Jonmonk, Hershi, Oserinf, Ellesia, Hamtaroh
51: Alexcantsurf, Lexonar, Nóx, Miu, Mirrabells
52: Strat, Snoomyi, Wertysemdefk, Asumiau, Shigusâ
53: Ipwnedfeniix, Tippity, Sippity, Hater, Gununnfmage
54: Pnysh, Derpnikone, Frostvit, Issi, Maddaddamman
55: Uwumage, Zzusie, Catjam, Metayaya, Mimicmonkess
56: 幽雅, Bouncybear, 祇若初見, 迅捷邦桑迪德, 捕风
57: Salyahdk, Sotà, Pumbafaé, Galaémonk, Elropalk
58: Zix, Vivianna, Soulyos, Niveknhoj, Molwendruid
59: 米瑞斯嘉晴风, 超蓝尼德比, 五月的奶茶, 时光的余烬, Jainamo
60: 狠狠的蛋疼, 李守一丶夜, 并州游侠, 旭哥哥三, 偷影子的人丶
61: Lunoma, Mamkatvoya, Hatixxd, Daenerys, Dartnz
62: Babaakyr, Flinsyspins, Pepéhands, Henkx, Rudyzy
63: Tabbycat, Banedh, Kaiser, Kaigo, Rute
64: Elwinar, Tanialya, Drashah, Pirhôxi, Kendärr
65: Mirex, Slamaq, Grizhghrogh, Florind, Terathel
66: Achromonk, Tauro, Salads, Zarod, Angelica
67: 你真顶格萨, 丿老司机灬, Eminemchen, 流浪的小树, 温瞎清风
68: Caltsushammy, Grimkyrpal, Skylinerdmn, Madmonkzabm, Elloisemage
69: Cata, Fimbulvtr, Kreeperdh, Aztotems, Garchompdwrf
70: Brandorsham, Donkeykhan, Terronar, Dadvil, Umm
71: Buddymonk, Svobodruid, Frostenzee, Sallirog, Ashbee
72: Zunitlust, Vlad, Foxmanjr, Phephen, Bissell
73: 老莫莫, 丶温酒论风尘, 幻想鱼, 星辰凋零, 兽兽薇
74: Skemmd, Pýr, Emily, Caitlin, Kranberry
75: Eirênê, Elenori, Ashbringerbg, Warrgodd, Atrixis
76: Cerdiaa, Markfae, Salamence, Drewarms, Dragonkpal
77: Shkizmage, Norgi, Rknaz, Nyüsz, Totoman
78: Raydecow, Raspator, Seigoat, Riggy, Badnightlite
79: Brabestalpha, Feskhuntera, Mitzdhv, Dynzi, Nandesprot
80: Hopeless, 绒球小杰叶, 纯粹为开锁, 可可萝酱, 银牌厨师
81: Hopeless, 绒球小杰叶, 纯粹为开锁, 可可萝酱, 银牌厨师
82: Aran, Bellyzineap, Tbrk, Alepala, Punishermm
